City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
45,georgetown,5.4112,100.3354,80.53,89,20,0.0,MY,1675887130
46,bengkulu,-3.8004,102.2655,74.61,86,85,5.1,ID,1675887477
47,castro,-24.7911,-50.0119,80.96,50,7,3.11,BR,1675887205
48,jamame,0.0722,42.7506,76.39,83,6,12.41,SO,1675887645
49,verkhnetulomskiy,68.6073,31.7962,39.33,74,100,20.11,RU,1675887575
50,saint george,37.1041,-113.5841,53.94,38,0,4.0,US,1675887247
51,ushuaia,-54.8,-68.3,64.02,63,100,9.86,AR,1675887064
52,atuona,-9.8,-139.0333,79.14,80,19,20.78,PF,1675887217
53,casas grandes,30.3667,-107.95,51.66,20,3,1.36,MX,1675887646
54,mecca,21.4267,39.8261,66.45,48,26,9.26,SA,1675887635
55,faanui,-16.4833,-151.75,80.42,74,22,11.21,PF,1675887221
56,port hawkesbury,45.6169,-61.3485,35.19,87,100,18.01,CA,1675887646
57,mataura,-46.1927,168.8643,50.49,89,94,7.99,NZ,1675887248
58,comodoro rivadavia,-45.8667,-67.5,83.7,27,13,10.18,AR,1675887224
59,bredasdorp,-34.5322,20.0403,67.82,77,0,15.73,ZA,1675887058
60,opuwo,-18.0607,13.84,72.68,38,100,8.34,NA,1675887647
61,victoria,22.2855,114.1577,65.95,89,100,13.0,HK,1675887126
62,hat yai,7.0084,100.4767,73.58,94,20,3.44,TH,1675887647
63,tasiilaq,65.6145,-37.6368,3.36,51,0,11.12,GL,1675887282
64,lamu,-2.2717,40.902,79.02,86,7,14.05,KE,1675887648
65,kentau,43.5206,68.5094,36.36,94,100,2.15,KZ,1675887648
66,buraydah,26.326,43.975,54.05,38,100,8.55,SA,1675887649
67,tuatapere,-46.1333,167.6833,48.27,85,94,10.11,NZ,1675887536
68,tambovka,50.0969,128.0489,-24.9,100,87,1.83,RU,1675887649
69,chuy,-33.6971,-53.4616,79.9,66,100,9.6,UY,1675887233
70,husavik,66.0449,-17.3389,20.28,75,98,8.75,IS,1675887231
71,bluff,-46.6,168.3333,50.81,65,72,22.84,NZ,1675887216
72,khatanga,71.9667,102.5,-45.47,100,63,4.52,RU,1675887331
73,nelson bay,-32.7167,152.15,73.0,87,26,5.01,AU,1675887650
74,san cristobal,7.7669,-72.225,77.18,42,33,5.21,VE,1675887361
75,longyearbyen,78.2186,15.6401,24.64,80,100,20.71,SJ,1675887514
76,namibe,-15.1961,12.1522,72.27,71,100,11.9,AO,1675887480
77,dukat,62.55,155.55,-40.95,100,83,3.69,RU,1675887650
78,dikson,73.5069,80.5464,3.16,77,100,12.17,RU,1675887202
79,ceske velenice,48.7685,14.9637,25.29,82,7,5.01,CZ,1675887650
80,natal,-5.795,-35.2094,84.85,69,0,17.27,BR,1675887651
81,geraldton,-28.7667,114.6,66.61,82,0,3.44,AU,1675887406
82,tabuk,17.4189,121.4443,67.03,91,100,3.83,PH,1675887651
83,hermanus,-34.4187,19.2345,69.8,73,0,15.46,ZA,1675887274
